Date Reported,Nomes de medida,Valores de medida
03/09/2020,* Antigen Tests,452
03/09/2020,Serology Tests,304
02/09/2020,Confirmed Cases,1.595
02/09/2020,PCR Tests,13.413
02/09/2020,* Antigen Tests,226
02/09/2020,Serology Tests,206
01/09/2020,Confirmed Cases,1.088
01/09/2020,PCR Tests,9.995
01/09/2020,* Antigen Tests,119
01/09/2020,Serology Tests,373
31/08/2020,Confirmed Cases,973
31/08/2020,PCR Tests,12.907
31/08/2020,* Antigen Tests,89
31/08/2020,Serology Tests,136
30/08/2020,Confirmed Cases,1.151
30/08/2020,PCR Tests,11.604
30/08/2020,* Antigen Tests,48
30/08/2020,Serology Tests,148
29/08/2020,Confirmed Cases,1.403
29/08/2020,PCR Tests,12.388
29/08/2020,* Antigen Tests,49
29/08/2020,Serology Tests,346
28/08/2020,Confirmed Cases,1.171
28/08/2020,PCR Tests,15.585
28/08/2020,* Antigen Tests,143
28/08/2020,Serology Tests,480
27/08/2020,Confirmed Cases,1.539
27/08/2020,PCR Tests,18.975
27/08/2020,* Antigen Tests,177
27/08/2020,Serology Tests,631
26/08/2020,Confirmed Cases,1.499
26/08/2020,PCR Tests,15.570
26/08/2020,* Antigen Tests,95
26/08/2020,Serology Tests,489
25/08/2020,Confirmed Cases,836
25/08/2020,PCR Tests,13.743
25/08/2020,* Antigen Tests,64
25/08/2020,Serology Tests,284
24/08/2020,Confirmed Cases,866
24/08/2020,PCR Tests,8.782
24/08/2020,* Antigen Tests,57
24/08/2020,Serology Tests,64
23/08/2020,Confirmed Cases,919
23/08/2020,PCR Tests,10.667
23/08/2020,* Antigen Tests,3
23/08/2020,Serology Tests,185
22/08/2020,Confirmed Cases,951
22/08/2020,PCR Tests,9.654
22/08/2020,* Antigen Tests,50
22/08/2020,Serology Tests,303
21/08/2020,Confirmed Cases,1.233
21/08/2020,PCR Tests,12.652
21/08/2020,* Antigen Tests,54
21/08/2020,Serology Tests,409
20/08/2020,Confirmed Cases,1.198
20/08/2020,PCR Tests,15.383
20/08/2020,* Antigen Tests,68
20/08/2020,Serology Tests,397
19/08/2020,Confirmed Cases,1.075
19/08/2020,PCR Tests,14.370
19/08/2020,* Antigen Tests,29
19/08/2020,Serology Tests,408
18/08/2020,Confirmed Cases,1.002
18/08/2020,PCR Tests,11.877
18/08/2020,* Antigen Tests,44
18/08/2020,Serology Tests,275
17/08/2020,Confirmed Cases,1.039
17/08/2020,PCR Tests,14.496
17/08/2020,* Antigen Tests,203
17/08/2020,Serology Tests,105
16/08/2020,Confirmed Cases,1.105
16/08/2020,PCR Tests,18.757
16/08/2020,* Antigen Tests,350
16/08/2020,Serology Tests,501
